iso3,year,malaria_total_cases
AFG,2015,383008.0
AFG,2016,436017.0
AFG,2017,413536.0
AFG,2018,299863.0
AFG,2019,174894.0
AFG,2020,105445.0
AFG,2021,86370.0
AFG,2022,125788.0
AFG,2023,180718.0
AFR,2015,142473515.0
AFR,2016,160847369.0
AFR,2017,164222503.0
AFR,2018,157996297.0
AFR,2019,168282485.0
AFR,2020,168364949.0
AFR,2021,174962186.0
AGO,2015,3254270.0
AGO,2016,4301146.0
AGO,2017,4500221.0
AGO,2018,5928260.0
AGO,2019,7530788.0
AGO,2020,7682739.0
AGO,2021,9169267.0
AGO,2022,9221410.0
AGO,2023,10496880.0
AMR,2015,478623.0
AMR,2016,650966.0
AMR,2017,931744.0
AMR,2018,929923.0
AMR,2019,848782.0
AMR,2020,589264.0
AMR,2021,524015.0
ARG,2015,11.0
ARG,2016,9.0
ARG,2017,16.0
ARG,2018,28.0
ARG,2019,22.0
ARG,2020,13.0
ARG,2021,13.0
ARG,2022,10.0
ARG,2023,16.0
ARM,2015,2.0
ARM,2016,2.0
ARM,2017,2.0
ARM,2018,6.0
ARM,2020,3.0
ARM,2022,2.0
ARM,2023,2.0
AZE,2015,1.0
AZE,2016,1.0
AZE,2017,1.0
AZE,2018,2.0
AZE,2019,0.0
AZE,2020,0.0
AZE,2021,1.0
AZE,2022,1.0
BDI,2015,5512414.0
BDI,2016,8902503.0
BDI,2017,9259694.0
BDI,2018,5149436.0
BDI,2019,9983843.0
BDI,2020,4732339.0
BDI,2021,6618492.0
BDI,2022,8124159.0
BDI,2023,5619763.0
BEN,2015,2042684.0
BEN,2016,1667005.0
BEN,2017,1968532.0
BEN,2018,2255946.0
BEN,2019,3084525.0
BEN,2020,2632959.0
BEN,2021,2928382.0
BEN,2022,2653438.0
BEN,2023,2069294.0
BFA,2015,8286453.0
BFA,2016,9799818.0
BFA,2017,12255671.0
BFA,2018,11991146.0
BFA,2019,6474757.0
BFA,2020,11567698.0
BFA,2021,12465543.0
BFA,2022,11958988.0
BFA,2023,11055698.0
BGD,2015,39719.0
BGD,2016,27737.0
BGD,2017,29247.0
BGD,2018,10523.0
BGD,2019,17225.0
BGD,2020,6130.0
BGD,2021,7294.0
BGD,2022,18246.0
BGD,2023,16567.0
BLZ,2015,13.0
BLZ,2016,5.0
BLZ,2017,9.0
BLZ,2018,7.0
BLZ,2019,2.0
BLZ,2020,0.0
BLZ,2021,0.0
BLZ,2022,0.0
BLZ,2023,2.0
BOL,2015,6907.0
BOL,2016,5553.0
BOL,2017,4587.0
BOL,2018,5354.0
BOL,2019,9357.0
BOL,2020,12187.0
BOL,2021,9959.0
BOL,2022,10330.0
BOL,2023,10297.0
BRA,2015,169390.0
BRA,2016,152160.0
BRA,2017,238517.0
BRA,2018,244042.0
BRA,2019,190745.0
BRA,2020,172419.0
BRA,2021,163585.0
BRA,2022,151530.0
BRA,2023,167170.0
BTN,2015,104.0
BTN,2016,74.0
BTN,2017,51.0
BTN,2018,54.0
BTN,2019,42.0
BTN,2020,54.0
BTN,2021,23.0
BTN,2022,6.0
BTN,2023,18.0
BWA,2015,346.0
BWA,2016,725.0
BWA,2017,1911.0
BWA,2018,585.0
BWA,2019,272.0
BWA,2020,953.0
BWA,2021,729.0
BWA,2022,446.0
BWA,2023,651.0
CAF,2015,953535.0
CAF,2016,1607079.0
CAF,2017,1296277.0
CAF,2018,995157.0
CAF,2019,2708497.0
CAF,2020,1980804.0
CAF,2021,2223562.0
CAF,2022,2460689.0
CAF,2023,1979614.0
CHN,2015,3279.0
CHN,2016,3151.0
CHN,2017,2672.0
CHN,2018,2511.0
CHN,2019,2487.0
CHN,2020,1051.0
CHN,2022,820.0
CIV,2015,3606725.0
CIV,2016,3754504.0
CIV,2017,4152065.0
CIV,2018,5189974.0
CIV,2019,5950336.0
CIV,2020,5695412.0
CIV,2021,7633965.0
CIV,2022,8408469.0
CIV,2023,9129549.0
CMR,2015,2381592.0
CMR,2016,2615750.0
CMR,2017,3607898.0
CMR,2018,3550183.0
CMR,2019,3011133.0
CMR,2020,2974819.0
CMR,2021,3420788.0
CMR,2022,3382676.0
CMR,2023,3015821.0
COD,2015,12538805.0
COD,2016,16888006.0
COD,2017,16888842.0
COD,2018,18208440.0
COD,2019,24124400.0
COD,2020,24959997.0
COD,2021,24592389.0
COD,2022,29337562.0
COD,2023,29630177.0
COG,2015,264574.0
COG,2016,374252.0
COG,2017,297652.0
COG,2018,324615.0
COG,2019,545796.0
COG,2020,103692.0
COG,2021,351136.0
COG,2022,581329.0
COG,2023,737651.0
COL,2015,65453.0
COL,2016,86407.0
COL,2017,56515.0
COL,2018,63143.0
COL,2019,82721.0
COL,2020,81829.0
COL,2021,74707.0
COL,2022,73561.0
COL,2023,105479.0
COM,2015,2101.0
COM,2016,1734.0
COM,2017,3896.0
COM,2018,19682.0
COM,2019,17697.0
COM,2020,4546.0
COM,2021,10547.0
COM,2022,20681.0
COM,2023,21079.0
CPV,2015,27.0
CPV,2016,77.0
CPV,2017,457.0
CPV,2018,21.0
CPV,2019,40.0
CPV,2020,10.0
CPV,2021,21.0
CPV,2022,27.0
CPV,2023,37.0
CRI,2015,8.0
CRI,2016,13.0
CRI,2017,25.0
CRI,2018,152.0
CRI,2019,149.0
CRI,2020,145.0
CRI,2021,232.0
CRI,2022,462.0
CRI,2023,641.0
DJI,2015,9557.0
DJI,2016,13822.0
DJI,2017,14810.0
DJI,2018,25319.0
DJI,2019,49402.0
DJI,2020,73535.0
DJI,2021,58916.0
DJI,2022,40648.0
DJI,2023,38944.0
DOM,2015,661.0
DOM,2016,755.0
DOM,2017,398.0
DOM,2018,484.0
DOM,2019,1314.0
DOM,2020,829.0
DOM,2021,291.0
DOM,2022,337.0
DOM,2023,271.0
DZA,2015,747.0
DZA,2016,432.0
DZA,2017,453.0
DZA,2018,1242.0
DZA,2019,1014.0
DZA,2020,2726.0
DZA,2021,1164.0
DZA,2022,1292.0
DZA,2023,427.0
ECU,2015,686.0
ECU,2016,1424.0
ECU,2017,1380.0
ECU,2018,1806.0
ECU,2019,1909.0
ECU,2020,2089.0
ECU,2021,2436.0
ECU,2022,1666.0
ECU,2023,757.0
EMR,2015,5424469.0
EMR,2016,3687883.0
EMR,2017,4469285.0
EMR,2018,5293554.0
EMR,2019,4496530.0
EMR,2020,4200782.0
EMR,2021,4805377.0
ERI,2015,32974.0
ERI,2016,80450.0
ERI,2017,55588.0
ERI,2018,48326.0
ERI,2019,93878.0
ERI,2020,75756.0
ERI,2021,44036.0
ERI,2022,65853.0
ERI,2023,102504.0
ETH,2015,2174707.0
ETH,2016,1962996.0
ETH,2017,1755748.0
ETH,2018,1206891.0
ETH,2019,1015792.0
ETH,2020,1848231.0
ETH,2021,1487758.0
ETH,2022,1837213.0
ETH,2023,3288168.0
EUR,2015,240.0
EUR,2016,230.0
EUR,2017,234.0
EUR,2018,260.0
EUR,2019,297.0
EUR,2020,144.0
GAB,2015,217287.0
GAB,2016,161508.0
GAB,2017,157639.0
GAB,2018,797278.0
GAB,2019,142917.0
GAB,2020,127500.0
GAB,2021,141195.0
GAB,2022,100290.0
GAB,2023,137856.0
GEO,2015,6.0
GEO,2016,7.0
GEO,2017,9.0
GEO,2018,9.0
GEO,2019,8.0
GEO,2020,4.0
GHA,2015,11678306.0
GHA,2016,11451328.0
GHA,2017,13472089.0
GHA,2018,11154400.0
GHA,2019,6703687.0
GHA,2020,5879506.0
GHA,2021,6077543.0
GHA,2022,5456588.0
GHA,2023,5900188.0
GIN,2015,895016.0
GIN,2016,992146.0
GIN,2017,1335323.0
GIN,2018,1246598.0
GIN,2019,2172260.0
GIN,2020,2029517.0
GIN,2021,2450957.0
GIN,2022,2548231.0
GIN,2023,2734149.0
GLOBAL,2015,150850429.0
GLOBAL,2016,167618467.0
GLOBAL,2017,171934569.0
GLOBAL,2018,166078149.0
GLOBAL,2019,175090901.0
GLOBAL,2020,174717282.0
GLOBAL,2021,181753443.0
GMB,2015,255403.0
GMB,2016,164421.0
GMB,2017,83668.0
GMB,2018,88654.0
GMB,2019,53386.0
GMB,2020,75801.0
GMB,2021,73781.0
GMB,2022,119104.0
GMB,2023,118459.0
GNB,2015,150085.0
GNB,2016,156523.0
GNB,2017,152619.0
GNB,2018,171075.0
GNB,2019,162635.0
GNB,2022,185156.0
GNB,2023,120841.0
GNQ,2015,15142.0
GNQ,2016,147714.0
GNQ,2017,15725.0
GNQ,2018,10926.0
GNQ,2019,43897.0
GNQ,2022,98346.0
GNQ,2023,76921.0
GTM,2015,5540.0
GTM,2016,5001.0
GTM,2017,4124.0
GTM,2018,3021.0
GTM,2019,2072.0
GTM,2020,1058.0
GTM,2021,1274.0
GTM,2022,1856.0
GTM,2023,3053.0
GUF,2015,434.0
GUF,2016,258.0
GUF,2017,597.0
GUF,2018,546.0
GUF,2019,212.0
GUF,2020,154.0
GUF,2021,143.0
GUF,2022,51.0
GUF,2023,340.0
GUY,2015,9984.0
GUY,2016,11108.0
GUY,2017,13936.0
GUY,2018,17038.0
GUY,2019,18826.0
GUY,2020,17230.0
GUY,2021,20850.0
GUY,2022,20769.0
GUY,2023,28776.0
HND,2015,3555.0
HND,2016,4097.0
HND,2017,1283.0
HND,2018,653.0
HND,2019,391.0
HND,2020,913.0
HND,2021,1657.0
HND,2022,3580.0
HND,2023,2631.0
HTI,2015,17583.0
HTI,2016,21430.0
HTI,2017,19135.0
HTI,2018,8828.0
HTI,2019,10687.0
HTI,2020,22996.0
HTI,2021,9513.0
HTI,2022,14757.0
HTI,2023,14436.0
IDN,2015,217025.0
IDN,2016,218450.0
IDN,2017,261617.0
IDN,2018,222345.0
IDN,2019,250646.0
IDN,2020,254055.0
IDN,2021,304607.0
IDN,2022,443530.0
IDN,2023,418533.0
IND,2015,1169261.0
IND,2016,1087285.0
IND,2017,844558.0
IND,2018,429928.0
IND,2019,338494.0
IND,2020,186532.0
IND,2021,161753.0
IND,2022,176522.0
IND,2023,227564.0
IRN,2015,799.0
IRN,2016,705.0
IRN,2017,939.0
IRN,2018,625.0
IRN,2019,1190.0
IRN,2020,1051.0
IRN,2021,999.0
IRN,2022,5677.0
IRN,2023,10004.0
KEN,2015,8219230.0
KEN,2016,8647072.0
KEN,2017,8462076.0
KEN,2018,10875734.0
KEN,2019,5270358.0
KEN,2020,7285476.0
KEN,2021,4697886.0
KEN,2022,5232307.0
KEN,2023,6819382.0
KGZ,2015,1.0
KGZ,2016,6.0
KGZ,2017,2.0
KGZ,2018,0.0
KGZ,2019,1.0
KGZ,2020,0.0
KHM,2015,68109.0
KHM,2016,43380.0
KHM,2017,76804.0
KHM,2018,62582.0
KHM,2019,32197.0
KHM,2020,9964.0
KHM,2021,4382.0
KHM,2022,4053.0
KHM,2023,1384.0
KOR,2015,692.0
KOR,2016,673.0
KOR,2017,515.0
KOR,2018,576.0
KOR,2019,559.0
KOR,2020,390.0
KOR,2021,294.0
KOR,2022,428.0
KOR,2023,747.0
LAO,2015,36078.0
LAO,2016,15509.0
LAO,2017,8435.0
LAO,2018,9038.0
LAO,2019,6692.0
LAO,2020,3498.0
LAO,2021,3926.0
LAO,2022,2340.0
LAO,2023,695.0
LBR,2015,1835238.0
LBR,2016,2343410.0
LBR,2017,1366176.0
LBR,2019,1041800.0
LBR,2021,983978.0
LBR,2022,760056.0
LBR,2023,994782.0
LKA,2015,36.0
LKA,2016,41.0
LKA,2017,57.0
LKA,2018,52.0
LKA,2019,54.0
LKA,2020,30.0
LKA,2021,26.0
LKA,2022,37.0
LKA,2023,63.0
MDG,2015,1366205.0
MDG,2016,1216077.0
MDG,2017,1163807.0
MDG,2018,1078140.0
MDG,2019,984304.0
MDG,2020,1959962.0
MDG,2021,2365135.0
MDG,2022,1693321.0
MDG,2023,2861319.0
MEX,2015,551.0
MEX,2016,596.0
MEX,2017,765.0
MEX,2018,803.0
MEX,2019,641.0
MEX,2020,369.0
MEX,2021,275.0
MEX,2022,244.0
MEX,2023,342.0
MLI,2015,3543576.0
MLI,2016,2465914.0
MLI,2017,2456639.0
MLI,2018,2614104.0
MLI,2019,3607237.0
MLI,2020,3363800.0
MLI,2021,3561439.0
MLI,2022,4004297.0
MLI,2023,3517583.0
MMR,2015,182465.0
MMR,2016,110146.0
MMR,2017,85019.0
MMR,2018,76518.0
MMR,2019,56414.0
MMR,2020,58836.0
MMR,2021,79001.0
MMR,2022,157538.0
MMR,2023,228567.0
MOZ,2015,8306986.0
MOZ,2016,10373341.0
MOZ,2017,9981277.0
MOZ,2018,10339330.0
MOZ,2019,11781516.0
MOZ,2020,11331009.0
MOZ,2021,10106592.0
MOZ,2022,12405868.0
MOZ,2023,13240174.0
MRT,2015,195740.0
MRT,2016,171348.0
MRT,2017,182677.0
MRT,2018,175841.0
MRT,2019,135120.0
MRT,2020,144709.0
MRT,2021,49560.0
MRT,2022,130720.0
MRT,2023,108415.0
MWI,2015,4933416.0
MWI,2016,5165386.0
MWI,2017,5936348.0
MWI,2018,5865476.0
MWI,2019,5151732.0
MWI,2020,7108848.0
MWI,2021,6863146.0
MWI,2022,4221797.0
MWI,2023,6451946.0
MYS,2015,2311.0
MYS,2016,2302.0
MYS,2017,4114.0
MYS,2018,4630.0
MYS,2019,3941.0
MYS,2020,2839.0
MYS,2021,3688.0
MYS,2022,2807.0
MYS,2023,3629.0
MYT,2015,11.0
MYT,2016,28.0
MYT,2017,19.0
MYT,2018,47.0
MYT,2019,55.0
MYT,2020,25.0
MYT,2023,38.0
NAM,2015,12050.0
NAM,2016,24869.0
NAM,2017,66141.0
NAM,2018,36451.0
NAM,2019,3404.0
NAM,2020,13636.0
NAM,2021,13738.0
NAM,2022,11849.0
NAM,2023,13735.0
NER,2015,3937742.0
NER,2016,5166336.0
NER,2017,2761268.0
NER,2018,3358058.0
NER,2019,4402685.0
NER,2020,5235815.0
NER,2021,4661376.0
NER,2022,5648740.0
NER,2023,4486983.0
NGA,2015,16702261.0
NGA,2016,23956669.0
NGA,2017,20219268.0
NGA,2018,20482380.0
NGA,2019,23376793.0
NGA,2020,21580055.0
NGA,2021,23608797.0
NGA,2022,24968466.0
NGA,2023,26411359.0
NIC,2015,2308.0
NIC,2016,6284.0
NIC,2017,10952.0
NIC,2018,15934.0
NIC,2019,13226.0
NIC,2020,31763.0
NIC,2021,23323.0
NIC,2022,16158.0
NIC,2023,7008.0
NPL,2015,19171.0
NPL,2016,10687.0
